nohup: ignoring input
Preprocessing....
Loading data...
Model parameters:  17583594
Training....
[model]
num_layers = 4
num_heads = 8
d_model = 512
dff = 512
pe_input = 120
pe_target = 120
rate = 0.1
device = cuda:2

[data]
max_length = 100
batch_size = 512
on_full = True
full_data_path = /home/Zhouyu/MODEL/translate/ustpo_list.txt
250k_data_path = /home/Zhouyu/MODEL/translate/ustpo250k_list.txt
vocab_path = /home/Zhouyu/MODEL/translate/vocab.txt

[train]
epochs = 20
save_dir = /home/Zhouyu/MODEL/translate/save
save_name = /test17m.tar
print_trainstep_every = 100
teacher_forcing_ratio = 0.2

[optimizer]
lr = 0.0001
beta1 = 0.9
beta2 = 0.98
eps = 1e-9

[generate]
on = False
ckpt = /home/Zhouyu/MODEL/translate/save/test2passbig240m.tar
==================== 2024-02-29 20:39:11 ====================
Epoch 3 | Step 3500 | Loss 0.6924 | Accuracy 0.7522
Epoch 3 | Step 3600 | Loss 0.6944 | Accuracy 0.7512
Epoch 3 | Step 3700 | Loss 0.6961 | Accuracy 0.7502
Epoch 3 | Step 3800 | Loss 0.6975 | Accuracy 0.7493
Epoch 3 | Step 3900 | Loss 0.6989 | Accuracy 0.7485
Epoch 3 | Step 4000 | Loss 0.7001 | Accuracy 0.7477
Epoch 3 | Step 4100 | Loss 0.7013 | Accuracy 0.7469
Epoch 3 | Step 4200 | Loss 0.7023 | Accuracy 0.7463
Epoch 3 | Step 4300 | Loss 0.7032 | Accuracy 0.7456
Epoch 3 | Step 4400 | Loss 0.7038 | Accuracy 0.7451
Epoch 3 | Step 4500 | Loss 0.7045 | Accuracy 0.7446
Epoch 3 | Step 4600 | Loss 0.7049 | Accuracy 0.7441
Epoch 3 | Step 4700 | Loss 0.7052 | Accuracy 0.7437
Epoch 3 | Step 4800 | Loss 0.7053 | Accuracy 0.7435
Epoch 3 | Step 4900 | Loss 0.7053 | Accuracy 0.7432
Epoch 3 | Step 5000 | Loss 0.7052 | Accuracy 0.7430
Epoch 3 | Step 5100 | Loss 0.7051 | Accuracy 0.7429
Epoch 3 | Step 5200 | Loss 0.7048 | Accuracy 0.7427
Epoch 3 | Step 5300 | Loss 0.7045 | Accuracy 0.7426
Epoch 3 | Step 5400 | Loss 0.7041 | Accuracy 0.7426
Epoch 3 | Step 5500 | Loss 0.7037 | Accuracy 0.7426
Epoch 3 | Step 5600 | Loss 0.7032 | Accuracy 0.7426
Epoch 3 | Step 5700 | Loss 0.7027 | Accuracy 0.7426
Epoch 3 | Step 5800 | Loss 0.7020 | Accuracy 0.7427
Epoch 3 | Step 5900 | Loss 0.7014 | Accuracy 0.7428
Epoch 3 | Step 6000 | Loss 0.7007 | Accuracy 0.7430
Epoch 3 | Step 6100 | Loss 0.6999 | Accuracy 0.7431
Epoch 3 | Step 6200 | Loss 0.6990 | Accuracy 0.7434
Epoch 3 | Step 6300 | Loss 0.6981 | Accuracy 0.7437
Epoch 3 | Step 6400 | Loss 0.6972 | Accuracy 0.7439
Epoch 3 | Step 6500 | Loss 0.6963 | Accuracy 0.7442
Epoch 3 | Step 6600 | Loss 0.6956 | Accuracy 0.7444
Epoch 3 | Step 6700 | Loss 0.6946 | Accuracy 0.7447
Epoch 3 | Step 6800 | Loss 0.6938 | Accuracy 0.7450
Epoch 3 | Step 6900 | Loss 0.6930 | Accuracy 0.7454
Epoch 3 | Step 7000 | Loss 0.6922 | Accuracy 0.7457
Epoch 3 | Step 7100 | Loss 0.6916 | Accuracy 0.7460
  0%|          | 0/7172 [48:34<?, ?it/s]
EPOCH: 3, LOSS: 0.6912, ACC: 0.7464, VAL_LOSS: 0.0000, VAL_ACC: 0.0000
==================== 2024-02-29 23:01:48 ====================
  0%|          | 0/7172 [00:00<?, ?it/s]Epoch 4 | Step 0 | Loss 0.9847 | Accuracy 0.5557
Epoch 4 | Step 100 | Loss 0.2266 | Accuracy 0.9237
Epoch 4 | Step 200 | Loss 0.2102 | Accuracy 0.9296
Epoch 4 | Step 300 | Loss 0.2051 | Accuracy 0.9314
Epoch 4 | Step 400 | Loss 0.2062 | Accuracy 0.9311
Epoch 4 | Step 500 | Loss 0.2080 | Accuracy 0.9306
Epoch 4 | Step 600 | Loss 0.2114 | Accuracy 0.9295
Epoch 4 | Step 700 | Loss 0.2163 | Accuracy 0.9280
Epoch 4 | Step 800 | Loss 0.2218 | Accuracy 0.9262
Epoch 4 | Step 900 | Loss 0.2261 | Accuracy 0.9247
Epoch 4 | Step 1000 | Loss 0.2318 | Accuracy 0.9228
Epoch 4 | Step 1100 | Loss 0.2369 | Accuracy 0.9210
Epoch 4 | Step 1200 | Loss 0.2408 | Accuracy 0.9196
Epoch 4 | Step 1300 | Loss 0.2466 | Accuracy 0.9177
Epoch 4 | Step 1400 | Loss 0.2519 | Accuracy 0.9159
Epoch 4 | Step 1500 | Loss 0.2574 | Accuracy 0.9139
Epoch 4 | Step 1600 | Loss 0.2625 | Accuracy 0.9121
Epoch 4 | Step 1700 | Loss 0.2681 | Accuracy 0.9102
Epoch 4 | Step 1800 | Loss 0.2734 | Accuracy 0.9083
Epoch 4 | Step 1900 | Loss 0.2785 | Accuracy 0.9064
Epoch 4 | Step 2000 | Loss 0.2838 | Accuracy 0.9045
Epoch 4 | Step 2100 | Loss 0.2888 | Accuracy 0.9026
Epoch 4 | Step 2200 | Loss 0.2936 | Accuracy 0.9008
Epoch 4 | Step 2300 | Loss 0.2986 | Accuracy 0.8989
Epoch 4 | Step 2400 | Loss 0.3036 | Accuracy 0.8970
Epoch 4 | Step 2500 | Loss 0.3089 | Accuracy 0.8949
Epoch 4 | Step 2600 | Loss 0.3136 | Accuracy 0.8931
Epoch 4 | Step 2700 | Loss 0.3180 | Accuracy 0.8912
Epoch 4 | Step 2800 | Loss 0.3223 | Accuracy 0.8895
Epoch 4 | Step 2900 | Loss 0.3263 | Accuracy 0.8878
Epoch 4 | Step 3000 | Loss 0.3303 | Accuracy 0.8861
Epoch 4 | Step 3100 | Loss 0.3341 | Accuracy 0.8845
Epoch 4 | Step 3200 | Loss 0.3377 | Accuracy 0.8829
Epoch 4 | Step 3300 | Loss 0.3412 | Accuracy 0.8813
Epoch 4 | Step 3400 | Loss 0.3445 | Accuracy 0.8798
Epoch 4 | Step 3500 | Loss 0.3477 | Accuracy 0.8784
Epoch 4 | Step 3600 | Loss 0.3504 | Accuracy 0.8771
Epoch 4 | Step 3700 | Loss 0.3531 | Accuracy 0.8758
Epoch 4 | Step 3800 | Loss 0.3557 | Accuracy 0.8746
Epoch 4 | Step 3900 | Loss 0.3583 | Accuracy 0.8733
Epoch 4 | Step 4000 | Loss 0.3608 | Accuracy 0.8721
Epoch 4 | Step 4100 | Loss 0.3629 | Accuracy 0.8710
Epoch 4 | Step 4200 | Loss 0.3651 | Accuracy 0.8699
Epoch 4 | Step 4300 | Loss 0.3672 | Accuracy 0.8688
Epoch 4 | Step 4400 | Loss 0.3689 | Accuracy 0.8679
Epoch 4 | Step 4500 | Loss 0.3707 | Accuracy 0.8670
Epoch 4 | Step 4600 | Loss 0.3723 | Accuracy 0.8661
Epoch 4 | Step 4700 | Loss 0.3738 | Accuracy 0.8653
Epoch 4 | Step 4800 | Loss 0.3752 | Accuracy 0.8645
Epoch 4 | Step 4900 | Loss 0.3764 | Accuracy 0.8638
Epoch 4 | Step 5000 | Loss 0.3776 | Accuracy 0.8632
Epoch 4 | Step 5100 | Loss 0.3787 | Accuracy 0.8626
Epoch 4 | Step 5200 | Loss 0.3797 | Accuracy 0.8619
Epoch 4 | Step 5300 | Loss 0.3806 | Accuracy 0.8614
Epoch 4 | Step 5400 | Loss 0.3814 | Accuracy 0.8609
Epoch 4 | Step 5500 | Loss 0.3821 | Accuracy 0.8605
Epoch 4 | Step 5600 | Loss 0.3828 | Accuracy 0.8601
Epoch 4 | Step 5700 | Loss 0.3834 | Accuracy 0.8597
Epoch 4 | Step 5800 | Loss 0.3840 | Accuracy 0.8593
Epoch 4 | Step 5900 | Loss 0.3846 | Accuracy 0.8590
Epoch 4 | Step 6000 | Loss 0.3851 | Accuracy 0.8587
Epoch 4 | Step 6100 | Loss 0.3855 | Accuracy 0.8584
Epoch 4 | Step 6200 | Loss 0.3859 | Accuracy 0.8581
Epoch 4 | Step 6300 | Loss 0.3863 | Accuracy 0.8579
Epoch 4 | Step 6400 | Loss 0.3867 | Accuracy 0.8576
Epoch 4 | Step 6500 | Loss 0.3870 | Accuracy 0.8574
Epoch 4 | Step 6600 | Loss 0.3873 | Accuracy 0.8573
Epoch 4 | Step 6700 | Loss 0.3876 | Accuracy 0.8571
Epoch 4 | Step 6800 | Loss 0.3878 | Accuracy 0.8569
Epoch 4 | Step 6900 | Loss 0.3881 | Accuracy 0.8568
Epoch 4 | Step 7000 | Loss 0.3883 | Accuracy 0.8567
Epoch 4 | Step 7100 | Loss 0.3885 | Accuracy 0.8566
  0%|          | 0/7172 [44:44<?, ?it/s]
EPOCH: 4, LOSS: 0.3886, ACC: 0.8567, VAL_LOSS: 0.0000, VAL_ACC: 0.0000
==================== 2024-02-29 23:46:33 ====================
  0%|          | 0/7172 [00:00<?, ?it/s]Epoch 5 | Step 0 | Loss 0.8122 | Accuracy 0.6030
Epoch 5 | Step 100 | Loss 0.1018 | Accuracy 0.9664
Epoch 5 | Step 200 | Loss 0.0894 | Accuracy 0.9709
Epoch 5 | Step 300 | Loss 0.0881 | Accuracy 0.9715
Epoch 5 | Step 400 | Loss 0.0894 | Accuracy 0.9712
Epoch 5 | Step 500 | Loss 0.0911 | Accuracy 0.9706
Epoch 5 | Step 600 | Loss 0.0949 | Accuracy 0.9693
Epoch 5 | Step 700 | Loss 0.0988 | Accuracy 0.9681
Epoch 5 | Step 800 | Loss 0.1030 | Accuracy 0.9667
Epoch 5 | Step 900 | Loss 0.1069 | Accuracy 0.9654
Epoch 5 | Step 1000 | Loss 0.1105 | Accuracy 0.9642
Epoch 5 | Step 1100 | Loss 0.1155 | Accuracy 0.9625
Epoch 5 | Step 1200 | Loss 0.1198 | Accuracy 0.9610
Epoch 5 | Step 1300 | Loss 0.1244 | Accuracy 0.9595
Epoch 5 | Step 1400 | Loss 0.1286 | Accuracy 0.9580
Epoch 5 | Step 1500 | Loss 0.1336 | Accuracy 0.9563
Epoch 5 | Step 1600 | Loss 0.1380 | Accuracy 0.9547
Epoch 5 | Step 1700 | Loss 0.1435 | Accuracy 0.9528
Epoch 5 | Step 1800 | Loss 0.1483 | Accuracy 0.9511
Epoch 5 | Step 1900 | Loss 0.1531 | Accuracy 0.9494
Epoch 5 | Step 2000 | Loss 0.1582 | Accuracy 0.9476
Epoch 5 | Step 2100 | Loss 0.1628 | Accuracy 0.9459
Epoch 5 | Step 2200 | Loss 0.1677 | Accuracy 0.9441
Epoch 5 | Step 2300 | Loss 0.1722 | Accuracy 0.9424
Epoch 5 | Step 2400 | Loss 0.1768 | Accuracy 0.9407
Epoch 5 | Step 2500 | Loss 0.1813 | Accuracy 0.9390
Epoch 5 | Step 2600 | Loss 0.1857 | Accuracy 0.9372
Epoch 5 | Step 2700 | Loss 0.1903 | Accuracy 0.9354
Epoch 5 | Step 2800 | Loss 0.1944 | Accuracy 0.9338
Epoch 5 | Step 2900 | Loss 0.1979 | Accuracy 0.9324
Epoch 5 | Step 3000 | Loss 0.2016 | Accuracy 0.9309
Epoch 5 | Step 3100 | Loss 0.2053 | Accuracy 0.9294
Epoch 5 | Step 3200 | Loss 0.2089 | Accuracy 0.9279
Epoch 5 | Step 3300 | Loss 0.2127 | Accuracy 0.9263
Epoch 5 | Step 3400 | Loss 0.2159 | Accuracy 0.9249
Epoch 5 | Step 3500 | Loss 0.2190 | Accuracy 0.9235
Epoch 5 | Step 3600 | Loss 0.2221 | Accuracy 0.9222
Epoch 5 | Step 3700 | Loss 0.2251 | Accuracy 0.9208
Epoch 5 | Step 3800 | Loss 0.2278 | Accuracy 0.9196
Epoch 5 | Step 3900 | Loss 0.2306 | Accuracy 0.9183
